Price,Beds,Baths,Area,Pets,Street,City,Region,Zip
"$3,000+",0 - 2 bed,1 - 2 bath,Data Not Found,OK Pets,"605 W 42nd St,                  ",New York,NY,10036
"$1,715+",0 - 3 bed,1 bath,400+ sqft,NO,"1365 Saint Nicholas Ave,                  ",New York,NY,10033
"$2,045+",1 - 4 bed,1 - 2 bath,571+ sqft,OK Pets,"6260 99th St,                  ",Rego Park,NY,11374
Data Not Found,Data Not Found,Data Not Found,Data Not Found,NO,Data Not Found,Data Not Found,Data Not Found,Data Not Found
"$2,850+",1 - 3 bed,1 - 2 bath,669+ sqft,OK Pets,"1277 E 14th St,                  ",Brooklyn,NY,11230
"$1,599+",0 - 2 bed,1 - 2 bath,365+ sqft,NO,"88-15 168th St,                  ",Jamaica,NY,11432
"$1,550+",0 - 3 bed,1 bath,585+ sqft,OK Pets,"5959 Broadway,                  ",Bronx,NY,10463
"$1,975+",0 - 3 bed,1 - 2 bath,487+ sqft,OK Pets,"7525 153rd St,                  ",Kew Gardens Hills,NY,11367
"$3,804+",0 - 2 bed,1 - 2 bath,516+ sqft,OK Pets,"100 W 31st St,                  ",New York,NY,10001
"$3,399+",0 - 2 bed,1 bath,641+ sqft,NO,"63 Wall St,                  ",New York,NY,10005
"$1,699+",0 - 2 bed,1 bath,544+ sqft,NO,"140-30-140-50 Ash Ave,                  ",Flushing,NY,11355
"$2,246+",0 - 2 bed,1 - 2 bath,477+ sqft,OK Pets,"54 Noll St,                  ",Brooklyn,NY,11206
Data Not Found,Data Not Found,Data Not Found,Data Not Found,NO,Data Not Found,Data Not Found,Data Not Found,Data Not Found
"$2,845+",0 - 3 bed,1 - 2 bath,433+ sqft,OK Pets,"435 W 31st St,                  ",New York,NY,10001
"$2,600+",0 - 3 bed,1 - 2 bath,497+ sqft,OK Pets,"25 Waterside Plz,                  ",New York,NY,10010
"$4,021+",1 - 3 bed,1 - 3 bath,694+ sqft,OK Pets,"225 Cherry St,                  ",New York,NY,10002
"$1,775+",0 - 1 bed,1 bath,564+ sqft,OK Pets,"153-30 89th Ave,                  ",Jamaica,NY,11432
"$1,699+",0 - 2 bed,1 bath,Data Not Found,NO,"94-25 57th Ave,                  ",Elmhurst,NY,11373
"$2,456+",0 - 3 bed,1 - 2 bath,428+ sqft,OK Pets,"42-12 28th St,                  ",Long Island City,NY,11101
"$3,225+",0 - 2 bed,1 - 2 bath,Data Not Found,OK Cats,"222 E 34th St,                  ",New York,NY,10016
"$2,773+",0 - 2 bed,1 - 2 bath,434+ sqft,OK Pets,"395 Leonard St,                  ",Brooklyn,NY,11211
Data Not Found,Data Not Found,Data Not Found,Data Not Found,NO,Data Not Found,Data Not Found,Data Not Found,Data Not Found
"$1,599+",0 - 2 bed,1 bath,544+ sqft,NO,"51-25 Van Kleeck St,                  ",Elmhurst,NY,11373
"$2,862+",0 - 1 bed,1 bath,468+ sqft,OK Pets,"601 W 57th St,                  ",New York,NY,10019
"$3,050+",0 - 1 bed,1 bath,520+ sqft,OK Cats,"50 W 34th St,                  ",New York,NY,10001
"$6,500+",1 - 2 bed,1 - 2 bath,Data Not Found,NO,"796 Madison Ave,                  ",New York,NY,10065
"$3,535+",1 - 3 bed,1 bath,708+ sqft,OK Pets,"409 E 14th St,                  ",New York,NY,10009
"$1,640 ",0 bed,1 bath,"1,640+ sqft",NO,"440 Saint Marks Ave,                  ",Brooklyn,NY,11238
"$2,553+",0 - 2 bed,1 bath,479+ sqft,OK Pets,"33 Bond St,                  ",Brooklyn,NY,11201
"$3,734+",1 - 2 bed,1 - 2 bath,944+ sqft,OK Pets,"360 1st Ave,                  ",New York,NY,10010
"$1,500+",0 - 2 bed,1 bath,500+ sqft,OK Pets,"1680 Pelham Pkwy S,                  ",Bronx,NY,10461
"$2,900 ",0 bed,1 bath,442+ sqft,OK Pets,"568 Union Ave,                  ",Brooklyn,NY,11211
"$3,233+",0 - 3 bed,1 - 3 bath,482+ sqft,OK Pets,"101 W End Ave,                  ",Manhattan,NY,10023
"$1,636 ",0 bed,1 bath,Data Not Found,NO,"939 Woodycrest Ave,                  ",Bronx,NY,10452
"$3,740+",1 - 2 bed,1 - 2 bath,650+ sqft,OK Pets,"505 W 37th St,                  ",New York,NY,10018
"$4,850 ",1 bed,1 bath,"1,129+ sqft",OK Pets,"27-03 42nd Rd,                  ",Long Island City,NY,11101
"$2,471+",0 - 3 bed,1 - 3 bath,534+ sqft,OK Pets,"4545 Center Blvd,                  ",Long Island City,NY,11109
"$1,358+",0 - 2 bed,1 bath,362+ sqft,NO,"2010 Seagirt Blvd,                  ",Far Rockaway,NY,11691
"$3,440 ",0 bed,1 bath,519+ sqft,OK Pets,"544 Union Ave,                  ",Brooklyn,NY,11211
"$1,995+",0 - 2 bed,1 - 2 bath,477+ sqft,NO,"178-02 Hillside Ave,                  ",Jamaica,NY,11432
"$2,626+",0 - 3 bed,1 - 3 bath,437+ sqft,OK Pets,"180 Water St,                  ",New York,NY,10038
"$1,440+",0 - 1 bed,1 bath,Data Not Found,NO,"60-47 68th Ave,                  ",Ridgewood,NY,11385
"$1,718+",0 - 3 bed,1 - 2 bath,468+ sqft,NO,"96-02-96-40 57th Ave,                  ",Corona,NY,11368
"$4,375+",0 - 1 bed,1 bath,485+ sqft,OK Pets,"101 W 15th St,                  ",New York,NY,10011
"$3,938+",0 - 4 bed,1 - 4 bath,515+ sqft,OK Pets,"675 W 59th St,                  ",New York,NY,10019
"$2,396+",0 - 3 bed,1 - 3 bath,708+ sqft,OK Pets,"10 Halletts Pt,                  ",Astoria,NY,11102
"$1,500+",0 - 2 bed,1 - 2 bath,371+ sqft,OK Pets,"8 Navy Pier Ct,                  ",Staten Island,NY,10304
Data Not Found,Data Not Found,Data Not Found,Data Not Found,NO,Data Not Found,Data Not Found,Data Not Found,Data Not Found
"$3,000+",0 - 2 bed,1 - 2 bath,Data Not Found,OK Pets,"605 W 42nd St,                  ",New York,NY,10036
"$1,715+",0 - 3 bed,1 bath,400+ sqft,NO,"1365 Saint Nicholas Ave,                  ",New York,NY,10033
"$2,045+",1 - 4 bed,1 - 2 bath,571+ sqft,OK Pets,"6260 99th St,                  ",Rego Park,NY,11374
Data Not Found,Data Not Found,Data Not Found,Data Not Found,NO,Data Not Found,Data Not Found,Data Not Found,Data Not Found
"$2,850+",1 - 3 bed,1 - 2 bath,669+ sqft,OK Pets,"1277 E 14th St,                  ",Brooklyn,NY,11230
